"District Name","School Name",Grade,Gender,"Participation Rate","Percent Did Not Yet Meet Expectations","Percent Met or Exceeded Expectations"
"Walsh RE-1","All Schools",07,Male,100.0,"- -","- -"
"Walsh RE-1","All Schools",07,Female,100.0,"- -","- -"
"Walsh RE-1","All Schools",08,Male,75.0,"- -","- -"
"Walsh RE-1","All Schools",08,Female,100.0,"- -","- -"
"Pritchett RE-3","All Schools","All Grades",Male,0.0,"- -","- -"
"Pritchett RE-3","All Schools","All Grades",Female,0.0,"- -","- -"
"Pritchett RE-3","All Schools",03,Male,0.0,"- -","- -"
"Pritchett RE-3","All Schools",03,Female,0.0,"- -","- -"
"Pritchett RE-3","All Schools",04,Male,0.0,"- -","- -"
"Pritchett RE-3","All Schools",04,Female,0.0,"- -","- -"
"Pritchett RE-3","All Schools",05,Male,0.0,"- -","- -"
"Pritchett RE-3","All Schools",05,Female,0.0,"- -","- -"
"Pritchett RE-3","All Schools",06,Male,0.0,"- -","- -"
"Pritchett RE-3","All Schools",06,Female,0.0,"- -","- -"
"Pritchett RE-3","All Schools",07,Male,0.0,"- -","- -"
"Pritchett RE-3","All Schools",07,Female,0.0,"- -","- -"
"Pritchett RE-3","All Schools",08,Male,0.0,"- -","- -"
"Pritchett RE-3","All Schools",08,Female,0.0,"- -","- -"
"Springfield RE-4","All Schools","All Grades",Male,98.5,20.9,25.4
"Springfield RE-4","All Schools","All Grades",Female,96.8,9.8,21.3
"Springfield RE-4","All Schools",03,Male,100.0,"- -","- -"
"Springfield RE-4","All Schools",03,Female,100.0,"- -","- -"
"Springfield RE-4","All Schools",04,Male,100.0,"- -","- -"
"Springfield RE-4","All Schools",04,Female,88.9,"- -","- -"
"Springfield RE-4","All Schools",05,Male,100.0,"- -","- -"
"Springfield RE-4","All Schools",05,Female,100.0,"- -","- -"
"Springfield RE-4","All Schools",06,Male,100.0,"- -","- -"
"Springfield RE-4","All Schools",06,Female,92.9,"- -","- -"
"Springfield RE-4","All Schools",07,Male,100.0,"- -","- -"
"Springfield RE-4","All Schools",07,Female,100.0,"- -","- -"
"Springfield RE-4","All Schools",08,Male,95.2,"- -","- -"
"Springfield RE-4","All Schools",08,Female,100.0,"- -","- -"
"Vilas RE-5","All Schools","All Grades",Male,18.8,"- -","- -"
"Vilas RE-5","All Schools","All Grades",Female,33.3,"- -","- -"
"Vilas RE-5","All Schools",03,Male,33.3,"- -","- -"
"Vilas RE-5","All Schools",03,Female,0.0,"- -","- -"
"Vilas RE-5","All Schools",04,Male,50.0,"- -","- -"
"Vilas RE-5","All Schools",04,Female,50.0,"- -","- -"
"Vilas RE-5","All Schools",05,Male,33.3,"- -","- -"
"Vilas RE-5","All Schools",05,Female,25.0,"- -","- -"
"Vilas RE-5","All Schools",06,Male,0.0,"- -","- -"
"Vilas RE-5","All Schools",06,Female,50.0,"- -","- -"
"Vilas RE-5","All Schools",07,Male,0.0,"- -","- -"
"Vilas RE-5","All Schools",07,Female,0.0,"- -","- -"
"Vilas RE-5","All Schools",08,Male,0.0,"- -","- -"
"Vilas RE-5","All Schools",08,Female,28.6,"- -","- -"
"Campo RE-6","All Schools","All Grades",Male,100.0,"- -","- -"
"Campo RE-6","All Schools","All Grades",Female,100.0,"- -","- -"
"Campo RE-6","All Schools",03,Male,100.0,"- -","- -"
"Campo RE-6","All Schools",03,Female,100.0,"- -","- -"
"Campo RE-6","All Schools",04,Male,100.0,"- -","- -"
"Campo RE-6","All Schools",04,Female,100.0,"- -","- -"
"Campo RE-6","All Schools",05,Male,100.0,"- -","- -"
"Campo RE-6","All Schools",05,Female,100.0,"- -","- -"
"Campo RE-6","All Schools",06,Male,100.0,"- -","- -"
"Campo RE-6","All Schools",06,Female,"- -","- -","- -"
"Campo RE-6","All Schools",07,Male,100.0,"- -","- -"
"Campo RE-6","All Schools",07,Female,100.0,"- -","- -"
"Campo RE-6","All Schools",08,Male,"- -","- -","- -"
"Campo RE-6","All Schools",08,Female,100.0,"- -","- -"
"Las Animas RE-1","All Schools","All Grades",Male,70.9,22.4,17.8
"Las Animas RE-1","All Schools","All Grades",Female,74.3,26.6,14.5
"Las Animas RE-1","All Schools",03,Male,93.3,"- -","- -"
"Las Animas RE-1","All Schools",03,Female,100.0,"- -","- -"
"Las Animas RE-1","All Schools",04,Male,91.7,"- -","- -"
"Las Animas RE-1","All Schools",04,Female,100.0,"- -","- -"
"Las Animas RE-1","All Schools",05,Male,93.3,"- -","- -"
"Las Animas RE-1","All Schools",05,Female,100.0,"- -","- -"
"Las Animas RE-1","All Schools",06,Male,85.2,43.5,"- -"
"Las Animas RE-1","All Schools",06,Female,96.2,40.0,"- -"
"Las Animas RE-1","All Schools",07,Male,63.4,"- -","- -"
"Las Animas RE-1","All Schools",07,Female,63.4,"- -","- -"
"Las Animas RE-1","All Schools",08,Male,46.3,15.8,36.8
"Las Animas RE-1","All Schools",08,Female,40.0,27.8,22.2
"McClave Re-2","All Schools","All Grades",Male,96.4,"- -",50.0
"McClave Re-2","All Schools","All Grades",Female,100.0,"- -",49.1
"McClave Re-2","All Schools",03,Male,100.0,"- -","- -"
"McClave Re-2","All Schools",03,Female,100.0,"- -","- -"
"McClave Re-2","All Schools",04,Male,100.0,"- -","- -"
"McClave Re-2","All Schools",04,Female,100.0,"- -","- -"
"McClave Re-2","All Schools",05,Male,90.0,"- -","- -"
"McClave Re-2","All Schools",05,Female,100.0,"- -","- -"
"McClave Re-2","All Schools",06,Male,100.0,"- -","- -"
"McClave Re-2","All Schools",06,Female,100.0,"- -","- -"
"McClave Re-2","All Schools",07,Male,93.8,"- -","- -"
"McClave Re-2","All Schools",07,Female,100.0,"- -","- -"
"McClave Re-2","All Schools",08,Male,100.0,"- -","- -"
"McClave Re-2","All Schools",08,Female,100.0,"- -","- -"
"St Vrain Valley RE1J","All Schools","All Grades",Male,90.5,13.4,40.3
"St Vrain Valley RE1J","All Schools","All Grades",Female,89.6,14.7,34.6
"St Vrain Valley RE1J","All Schools",03,Male,95.4,15.5,48.2
"St Vrain Valley RE1J","All Schools",03,Female,97.3,13.9,47.1
"St Vrain Valley RE1J","All Schools",04,Male,92.8,14.8,39.8
"St Vrain Valley RE1J","All Schools",04,Female,94.4,16.5,31.9
"St Vrain Valley RE1J","All Schools",05,Male,93.1,8.8,47.3
"St Vrain Valley RE1J","All Schools",05,Female,93.1,10.4,36.7
"St Vrain Valley RE1J","All Schools",06,Male,91.5,14.2,30.7
"St Vrain Valley RE1J","All Schools",06,Female,91.2,18.4,25.8
"St Vrain Valley RE1J","All Schools",07,Male,88.8,8.8,30.7
"St Vrain Valley RE1J","All Schools",07,Female,86.5,9.0,27.5
"St Vrain Valley RE1J","All Schools",08,Male,82.6,18.4,45.8
"St Vrain Valley RE1J","All Schools",08,Female,76.8,20.4,38.9
"Boulder Valley Re 2","All Schools","All Grades",Male,89.7,9.7,51.4
"Boulder Valley Re 2","All Schools","All Grades",Female,90.2,10.3,45.6
"Boulder Valley Re 2","All Schools",03,Male,93.6,10.7,56.4
"Boulder Valley Re 2","All Schools",03,Female,96.2,12.1,50.6
"Boulder Valley Re 2","All Schools",04,Male,93.1,9.5,52.8
"Boulder Valley Re 2","All Schools",04,Female,94.5,8.4,46.7
"Boulder Valley Re 2","All Schools",05,Male,93.0,8.4,61.0
"Boulder Valley Re 2","All Schools",05,Female,94.1,8.4,50.3
"Boulder Valley Re 2","All Schools",06,Male,90.3,10.8,45.1
"Boulder Valley Re 2","All Schools",06,Female,90.8,12.9,38.4
"Boulder Valley Re 2","All Schools",07,Male,87.0,5.9,42.8
"Boulder Valley Re 2","All Schools",07,Female,85.8,7.2,37.7
"Boulder Valley Re 2","All Schools",08,Male,82.3,12.8,50.3
"Boulder Valley Re 2","All Schools",08,Female,80.9,13.2,50.1
"Buena Vista R-31","All Schools","All Grades",Male,91.3,20.5,21.4
"Buena Vista R-31","All Schools","All Grades",Female,94.8,17.0,18.5
"Buena Vista R-31","All Schools",03,Male,85.7,"- -","- -"
